Nombre Platillo,Precio,Categoria
Pulque Natural - Medio Litro,40,Bebida
Pulque Natural - Litro,60,Bebida
Pulque Natural - Litro y Medio,90,Bebida
Pulque Natural - Cinco Litros,250,Bebida
Pulque Especial - Medio Litro,60,Bebida
Pulque Especial - Litro,105,Bebida
Pulque Especial - Litro y Medio,150,Bebida
Pulque Especial - Cinco Litros,400,Bebida
Curado de la Semana - Medio Litro,45,Bebida
Curado de la Semana - Litro,75,Bebida
Curado de la Semana - Litro y Medio,110,Bebida
Curado de la Semana - Cinco Litros,325,Bebida
Curado a la Carta - Medio Litro,55,Bebida
Curado a la Carta - Litro,85,Bebida
Curado a la Carta - Litro y Medio,120,Bebida
Curado a la Carta - Cinco Litros,370,Bebida
Sangría,60,Bebida
Copa de Vino,70,Bebida
Tepache,60,Bebida
Torito de Jobo,50,Bebida
Brebajes,45,Bebida
Brebaje Cacao,60,Bebida
Refresco,30,Bebida
Té,30,Bebida
Café,30,Bebida
Agua del Día,35,Bebida
Mez Silvestre,65,Bebida
Mez Negro,50,Bebida
Mez Gusano,50,Bebida
Mez Alacrán,70,Bebida
Mez Cupreata,70,Bebida
Mez Abuelo Cogollo,120,Bebida
Mez 400 Conejos,65,Bebida
Mez Zignum,75,Bebida
Mez  Creyente,85,Bebida
Mez Mitre,100,Bebida
Corona,45,Bebida
Victoria,45,Bebida
Carta Blanca,45,Bebida
Pacífico,45,Bebida
Cerveza Tiburón,120,Bebida
Cerveza Morningstar,120,Bebida
Cerveza Lovecraft,80,Bebida
Molletes Sencillos,50,Alimento
Quesadillas Sencillos,40,Alimento
Nachos Sencillo,60,Alimento
Tostada Sencilla,50,Alimento
Sopes Sencillos,40,Alimento
Molletes,75,Alimento
Quesadillas,60,Alimento
Nachos,80,Alimento
Tostada,70,Alimento
Sopes,60,Alimento
Chicharrín,35,Alimento
Charales,50,Alimento
Palomitas,30,Alimento
Cacahuates,30,Alimento
